uk_airdate,episode,series,round,viewers_7day,channels_rank,baker_id,contestant,age,gender,hometown,occupation,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum
2017-08-29,5.1,5,1,9.46,1,5.Chris,Chris,50,M,Bristol,Software developer,-3,1,-1,12,12,0,2,0,1,0,NA,-1,1,-1,-1,0,0,0
2017-08-29,5.1,5,1,9.46,1,5.Flo,Flo,71,F,Merseyside,Retired,-1.3636363636363638,3,3,9,12,0,3,1,1,1,NA,1,1,1,1,0,0,6
2017-08-29,5.1,5,1,9.46,1,5.James,James,46,M,"Brentwood, Essex",Banker,2.454545454545454,-2,-1,2,12,0,5,-1,0,-1,NA,-1,1,-1,NA,0,0,-3
2017-08-29,5.1,5,1,9.46,1,5.Julia,Julia,21,F,"Crawley, West Sussex",Aviation Broker,1.9090909090909092,-1,-1,3,12,0,6,-1,0,0,NA,-1,-1,1,NA,0,0,-2
2017-08-29,5.1,5,1,9.46,1,5.Kate,Kate,29,F,Merseyside,Health and safety inspector,3,-2,2,1,12,0,10,0,-1,-1,NA,1,1,0,NA,0,0,0
2017-08-29,5.1,5,1,9.46,1,5.Liam,Liam,19,M,North London,Student,-0.8181818181818181,-2,3,8,12,0,8,-1,-1,0,NA,1,1,1,NA,0,0,1
2017-08-29,5.1,5,1,9.46,1,5.Peter,Peter,52,M,"Southend, Essex",IT programme manager,-1.9090909090909094,-2,-1,10,12,0,1,-1,-1,0,NA,-1,1,-1,-1,0,1,-3
2017-08-29,5.1,5,1,9.46,1,5.Sophie,Sophie,33,F,"West Molesey, Surrey",Former army officer and trainee stuntwoman,0.8181818181818181,3,1,5,12,1,10,1,1,1,NA,-1,1,1,1,0,0,4
2017-08-29,5.1,5,1,9.46,1,5.Stacey,Stacey,42,F,"Radlett, Hertfordshire",Former school teacher,-2.454545454545454,-1,1,11,12,0,9,0,-1,0,NA,1,1,-1,-1,0,0,0
2017-08-29,5.1,5,1,9.46,1,5.Steven,Steven,34,M,"Watford, Hertfordshire",Marketer,0.2727272727272728,3,3,6,12,0,10,1,1,1,NA,1,1,1,1,1,0,6
2017-08-29,5.1,5,1,9.46,1,5.Tom,Tom,29,M,Edinburgh,Architect,-0.2727272727272725,0,0,7,12,0,4,-1,0,1,NA,0,1,-1,NA,0,0,0
2017-08-29,5.1,5,1,9.46,1,5.Yan,Yan,46,F,North London,Laboratory research scientist,1.3636363636363638,1,1,4,12,0,7,1,0,0,NA,-1,1,1,NA,0,0,2
2017-09-05,5.2,5,2,9.23,2,5.Chris,Chris,50,M,Bristol,Software developer,-3,0,-1,11,11,0,2,0,0,0,NA,-1,0,0,-1,0,1,-1
2017-09-05,5.2,5,2,9.23,2,5.Flo,Flo,71,F,Merseyside,Retired,-2.4000000000000004,1,-1,10,11,0,3,-1,1,1,NA,1,-1,-1,-1,0,0,0
2017-09-05,5.2,5,2,9.23,2,5.James,James,46,M,"Brentwood, Essex",Banker,1.7999999999999998,2,2,3,11,0,5,1,1,0,NA,1,1,0,NA,0,0,4
2017-09-05,5.2,5,2,9.23,2,5.Julia,Julia,21,F,"Crawley, West Sussex",Aviation Broker,1.2000000000000002,-1,1,4,11,0,6,0,-1,0,NA,1,1,-1,NA,0,0,0
2017-09-05,5.2,5,2,9.23,2,5.Kate,Kate,29,F,Merseyside,Health and safety inspector,-1.1999999999999997,0,-2,8,11,0,10,-1,1,0,NA,0,-1,-1,-1,0,0,-2
2017-09-05,5.2,5,2,9.23,2,5.Liam,Liam,19,M,North London,Student,-0.5999999999999999,1,1,7,11,0,8,-1,1,1,NA,1,1,-1,NA,0,0,2
2017-09-05,5.2,5,2,9.23,2,5.Sophie,Sophie,33,F,"West Molesey, Surrey",Former army officer and trainee stuntwoman,2.4000000000000004,3,3,2,11,1,10,1,1,1,NA,1,1,1,1,0,0,6
2017-09-05,5.2,5,2,9.23,2,5.Stacey,Stacey,42,F,"Radlett, Hertfordshire",Former school teacher,-1.8000000000000003,3,-1,9,11,0,9,1,1,1,NA,-1,-1,1,-1,0,0,2
2017-09-05,5.2,5,2,9.23,2,5.Steven,Steven,34,M,"Watford, Hertfordshire",Marketer,0,2,3,6,11,0,10,1,1,0,NA,1,1,1,1,1,0,5
2017-09-05,5.2,5,2,9.23,2,5.Tom,Tom,29,M,Edinburgh,Architect,0.5999999999999999,3,1,5,11,0,4,1,1,1,NA,-1,1,1,1,0,0,4
2017-09-05,5.2,5,2,9.23,2,5.Yan,Yan,46,F,North London,Laboratory research scientist,3,2,-2,1,11,0,7,0,1,1,NA,-1,0,-1,NA,0,0,0
2017-09-12,5.3,5,3,8.68,2,5.Flo,Flo,71,F,Merseyside,Retired,-0.9999999999999998,-2,0,7,10,0,3,-1,-1,0,-1,1,-1,0,-1,0,1,-2
2017-09-12,5.3,5,3,8.68,2,5.James,James,46,M,"Brentwood, Essex",Banker,-2.333333333333333,2,1,9,10,0,5,1,1,0,NA,1,-1,1,NA,0,0,3
2017-09-12,5.3,5,3,8.68,2,5.Julia,Julia,21,F,"Crawley, West Sussex",Aviation Broker,2.3333333333333335,1,3,2,10,0,6,0,1,0,1,1,1,1,1,1,0,4
2017-09-12,5.3,5,3,8.68,2,5.Kate,Kate,29,F,Merseyside,Health and safety inspector,-3,-1,3,10,10,0,10,-1,1,-1,NA,1,1,1,NA,0,0,2
2017-09-12,5.3,5,3,8.68,2,5.Liam,Liam,19,M,North London,Student,0.3333333333333335,-2,-1,5,10,0,8,-1,0,-1,-1,-1,1,-1,-1,0,0,-3
2017-09-12,5.3,5,3,8.68,2,5.Sophie,Sophie,33,F,"West Molesey, Surrey",Former army officer and trainee stuntwoman,-0.3333333333333335,1,-1,6,10,1,10,1,0,0,NA,-1,1,-1,NA,0,0,0
2017-09-12,5.3,5,3,8.68,2,5.Stacey,Stacey,42,F,"Radlett, Hertfordshire",Former school teacher,3,0,1,1,10,0,9,0,0,0,1,1,-1,1,NA,0,0,1
2017-09-12,5.3,5,3,8.68,2,5.Steven,Steven,34,M,"Watford, Hertfordshire",Marketer,1.6666666666666667,-2,3,3,10,0,10,-1,0,-1,-1,1,1,1,1,0,0,1
2017-09-12,5.3,5,3,8.68,2,5.Tom,Tom,29,M,Edinburgh,Architect,1,3,-1,4,10,0,4,1,1,1,1,0,-1,0,NA,0,0,2
2017-09-12,5.3,5,3,8.68,2,5.Yan,Yan,46,F,North London,Laboratory research scientist,-1.6666666666666667,0,0,8,10,0,7,-1,1,0,NA,1,0,-1,NA,0,0,0
2017-09-19,5.4,5,4,8.55,3,5.James,James,46,M,"Brentwood, Essex",Banker,2.25,-1,-1,2,9,0,5,-1,1,-1,-1,-1,1,-1,-1,0,0,-2
2017-09-19,5.4,5,4,8.55,3,5.Julia,Julia,21,F,"Crawley, West Sussex",Aviation Broker,-3,-1,3,9,9,0,6,1,-1,-1,-1,1,1,1,NA,0,0,2
2017-09-19,5.4,5,4,8.55,3,5.Kate,Kate,29,F,Merseyside,Health and safety inspector,-0.75,3,3,6,9,0,10,1,1,1,1,1,1,1,1,1,0,6
2017-09-19,5.4,5,4,8.55,3,5.Liam,Liam,19,M,North London,Student,1.5,3,3,3,9,0,8,1,1,1,1,1,1,1,1,0,0,6
2017-09-19,5.4,5,4,8.55,3,5.Sophie,Sophie,33,F,"West Molesey, Surrey",Former army officer and trainee stuntwoman,0.75,-1,3,4,9,1,10,-1,1,-1,NA,1,1,1,NA,0,0,2
2017-09-19,5.4,5,4,8.55,3,5.Stacey,Stacey,42,F,"Radlett, Hertfordshire",Former school teacher,3,0,2,1,9,0,9,0,-1,1,1,1,1,0,NA,0,0,2
2017-09-19,5.4,5,4,8.55,3,5.Steven,Steven,34,M,"Watford, Hertfordshire",Marketer,-1.5,1,-1,7,9,0,10,0,0,1,NA,-1,-1,1,NA,0,0,0
2017-09-19,5.4,5,4,8.55,3,5.Tom,Tom,29,M,Edinburgh,Architect,0,0,-3,5,9,0,4,0,1,-1,NA,-1,-1,-1,-1,0,1,-3
2017-09-19,5.4,5,4,8.55,3,5.Yan,Yan,46,F,North London,Laboratory research scientist,-2.25,1,1,8,9,0,7,-1,1,1,-1,-1,1,1,NA,0,0,2
2017-09-26,5.5,5,5,8.61,4,5.James,James,46,M,"Brentwood, Essex",Banker,-2.1428571428571423,2,-2,7,8,0,5,0,1,1,-1,-1,-1,0,-1,0,1,0
2017-09-26,5.5,5,5,8.61,4,5.Julia,Julia,21,F,"Crawley, West Sussex",Aviation Broker,1.2857142857142858,1,-1,3,8,0,6,0,1,0,NA,-1,-1,1,-1,0,0,0
2017-09-26,5.5,5,5,8.61,4,5.Kate,Kate,29,F,Merseyside,Health and safety inspector,-3,-1,3,8,8,0,10,0,-1,0,-1,1,1,1,NA,0,0,2
2017-09-26,5.5,5,5,8.61,4,5.Liam,Liam,19,M,North London,Student,2.142857142857143,1,-2,2,8,0,8,-1,1,1,NA,0,-1,-1,-1,0,0,-1
2017-09-26,5.5,5,5,8.61,4,5.Sophie,Sophie,33,F,"West Molesey, Surrey",Former army officer and trainee stuntwoman,3,-1,3,1,8,1,10,-1,1,-1,NA,1,1,1,1,1,0,2
2017-09-26,5.5,5,5,8.61,4,5.Stacey,Stacey,42,F,"Radlett, Hertfordshire",Former school teacher,0.4285714285714287,3,3,4,8,0,9,1,1,1,1,1,1,1,1,0,0,6
2017-09-26,5.5,5,5,8.61,4,5.Steven,Steven,34,M,"Watford, Hertfordshire",Marketer,-0.4285714285714284,3,1,5,8,0,10,1,1,1,1,-1,1,1,NA,0,0,4
2017-09-26,5.5,5,5,8.61,4,5.Yan,Yan,46,F,North London,Laboratory research scientist,-1.2857142857142858,3,1,6,8,0,7,1,1,1,1,-1,1,1,NA,0,0,4
2017-10-03,5.6,5,6,8.61,4,5.Julia,Julia,21,F,"Crawley, West Sussex",Aviation Broker,-3,-2,-3,7,7,0,6,-1,-1,0,-1,-1,-1,-1,-1,0,1,-5
2017-10-03,5.6,5,6,8.61,4,5.Kate,Kate,29,F,Merseyside,Health and safety inspector,-0.9999999999999998,-3,3,5,7,0,10,-1,-1,-1,-1,1,1,1,NA,0,0,0
2017-10-03,5.6,5,6,8.61,4,5.Liam,Liam,19,M,North London,Student,0,3,1,4,7,0,8,1,1,1,1,1,1,-1,1,1,0,4
