contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Chris,5,1,5.1,-3,1,-1,12,12,0,2,5.Chris,0,1,0,NA,-1,1,-1,-1,0,0,0,8,M,50,Software developer,Bristol
Flo,5,1,5.1,-1.3636363636363638,3,3,9,12,0,3,5.Flo,1,1,1,NA,1,1,1,1,0,0,6,8,F,71,Retired,Merseyside
James,5,1,5.1,2.454545454545454,-2,-1,2,12,0,5,5.James,-1,0,-1,NA,-1,1,-1,NA,0,0,-3,8,M,46,Banker,"Brentwood, Essex"
Julia,5,1,5.1,1.9090909090909092,-1,-1,3,12,0,6,5.Julia,-1,0,0,NA,-1,-1,1,NA,0,0,-2,8,F,21,Aviation Broker,"Crawley, West Sussex"
Kate,5,1,5.1,3,-2,2,1,12,0,10,5.Kate,0,-1,-1,NA,1,1,0,NA,0,0,0,8,F,29,Health and safety inspector,Merseyside
Liam,5,1,5.1,-0.8181818181818181,-2,3,8,12,0,8,5.Liam,-1,-1,0,NA,1,1,1,NA,0,0,1,8,M,19,Student,North London
Peter,5,1,5.1,-1.9090909090909094,-2,-1,10,12,0,1,5.Peter,-1,-1,0,NA,-1,1,-1,-1,0,1,-3,8,M,52,IT programme manager,"Southend, Essex"
Sophie,5,1,5.1,0.8181818181818181,3,1,5,12,1,10,5.Sophie,1,1,1,NA,-1,1,1,1,0,0,4,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,1,5.1,-2.454545454545454,-1,1,11,12,0,9,5.Stacey,0,-1,0,NA,1,1,-1,-1,0,0,0,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,1,5.1,0.2727272727272728,3,3,6,12,0,10,5.Steven,1,1,1,NA,1,1,1,1,1,0,6,8,M,34,Marketer,"Watford, Hertfordshire"
