season,contestant,gender,age,occupation,hometown,round,technical,series
8,Chris,M,50,Software developer,Bristol,1,12,5
8,Flo,F,71,Retired,Merseyside,1,9,5
8,James,M,46,Banker,"Brentwood, Essex",1,2,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",1,3,5
8,Kate,F,29,Health and safety inspector,Merseyside,1,1,5
8,Liam,M,19,Student,North London,1,8,5
8,Peter,M,52,IT programme manager,"Southend, Essex",1,10,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",1,5,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",1,11,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",1,6,5
8,Tom,M,29,Architect,Edinburgh,1,7,5
8,Yan,F,46,Laboratory research scientist,North London,1,4,5
8,Chris,M,50,Software developer,Bristol,2,11,5
8,Flo,F,71,Retired,Merseyside,2,10,5
8,James,M,46,Banker,"Brentwood, Essex",2,3,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",2,4,5
8,Kate,F,29,Health and safety inspector,Merseyside,2,8,5
8,Liam,M,19,Student,North London,2,7,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",2,2,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",2,9,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",2,6,5
8,Tom,M,29,Architect,Edinburgh,2,5,5
8,Yan,F,46,Laboratory research scientist,North London,2,1,5
8,Flo,F,71,Retired,Merseyside,3,7,5
8,James,M,46,Banker,"Brentwood, Essex",3,9,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",3,2,5
8,Kate,F,29,Health and safety inspector,Merseyside,3,10,5
8,Liam,M,19,Student,North London,3,5,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",3,6,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",3,1,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",3,3,5
8,Tom,M,29,Architect,Edinburgh,3,4,5
8,Yan,F,46,Laboratory research scientist,North London,3,8,5
8,James,M,46,Banker,"Brentwood, Essex",4,2,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",4,9,5
8,Kate,F,29,Health and safety inspector,Merseyside,4,6,5
8,Liam,M,19,Student,North London,4,3,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",4,4,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",4,1,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",4,7,5
8,Tom,M,29,Architect,Edinburgh,4,5,5
8,Yan,F,46,Laboratory research scientist,North London,4,8,5
8,James,M,46,Banker,"Brentwood, Essex",5,7,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",5,3,5
8,Kate,F,29,Health and safety inspector,Merseyside,5,8,5
8,Liam,M,19,Student,North London,5,2,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",5,1,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",5,4,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",5,5,5
8,Yan,F,46,Laboratory research scientist,North London,5,6,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",6,7,5
8,Kate,F,29,Health and safety inspector,Merseyside,6,5,5
8,Liam,M,19,Student,North London,6,4,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",6,2,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",6,6,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",6,3,5
8,Yan,F,46,Laboratory research scientist,North London,6,1,5
8,Kate,F,29,Health and safety inspector,Merseyside,7,6,5
8,Liam,M,19,Student,North London,7,2,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",7,3,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",7,4,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",7,1,5
8,Yan,F,46,Laboratory research scientist,North London,7,5,5
8,Kate,F,29,Health and safety inspector,Merseyside,8,2,5
8,Liam,M,19,Student,North London,8,5,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,4,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",8,3,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",8,1,5
8,Kate,F,29,Health and safety inspector,Merseyside,9,4,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",9,1,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",9,2,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",9,3,5
8,Kate,F,29,Health and safety inspector,Merseyside,10,3,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",10,2,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",10,1,5
9,Antony,M,30,Banker,London,1,12,6
9,Briony,F,33,Stay at home parent,Bristol,1,2,6
9,Dan,M,36,Stay at home parent,London,1,4,6
9,Imelda,F,33,Countryside recreation officer,County Tyrone,1,11,6
9,Jon,M,47,Blood courier,Newport,1,5,6
9,Karen,F,60,In-store sampling assistant,Wakefield,1,6,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,1,10,6
9,Luke,M,30,Civil servant/house and techno DJ,Sheffield,1,8,6
9,Manon,F,26,Software project manager,London,1,3,6
9,Rahul,M,30,Research scientist,Rotherham,1,7,6
9,Ruby,F,29,Project manager,London,1,1,6
9,Terry,M,56,Retired air steward,West Midlands,1,9,6
9,Antony,M,30,Banker,London,2,9,6
9,Briony,F,33,Stay at home parent,Bristol,2,5,6
9,Dan,M,36,Stay at home parent,London,2,3,6
9,Jon,M,47,Blood courier,Newport,2,1,6
